locus_tag	ftype	length_bp	gene	EC_number	COG	product
IABCJNHA_00700	CDS	837	epsE	2.4.-.-	COG0463	Putative glycosyltransferase EpsE
IABCJNHA_00701	CDS	1164	epsF_1	2.4.-.-	COG0438	Putative glycosyltransferase EpsF
IABCJNHA_00702	CDS	1104	epsG			Transmembrane protein EpsG
IABCJNHA_00703	CDS	1035	epsH	2.4.-.-	COG0463	Putative glycosyltransferase EpsH
IABCJNHA_00704	CDS	1077	epsI	2.-.-.-	COG5039	Putative pyruvyl transferase EpsI
IABCJNHA_00705	CDS	1035	epsJ	2.4.-.-	COG0463	putative glycosyltransferase EpsJ
IABCJNHA_00706	CDS	1518	epsK			putative membrane protein EpsK
IABCJNHA_00707	CDS	609	epsL	2.-.-.-	COG2148	putative sugar transferase EpsL
IABCJNHA_00708	CDS	651	epsM	2.3.1.-	COG0110	Putative acetyltransferase EpsM
IABCJNHA_00709	CDS	1167	epsN	2.6.1.-	COG0399	Putative pyridoxal phosphate-dependent aminotransferase EpsN
IABCJNHA_00710	CDS	969	epsO	2.-.-.-	COG5039	Putative pyruvyl transferase EpsO
IABCJNHA_00711	CDS	219	yvfG			putative protein YvfG
IABCJNHA_00712	CDS	1311	rpoN		COG1508	RNA polymerase sigma-54 factor
IABCJNHA_00713	CDS	1692	lutP		COG1620	L-lactate permease
IABCJNHA_00714	CDS	660	lutR_1		COG2186	HTH-type transcriptional regulator LutR
IABCJNHA_00715	CDS	993	lacR_1		COG1609	HTH-type transcriptional regulator LacR
IABCJNHA_00716	CDS	1266	cycB		COG2182	Cyclodextrin-binding protein
IABCJNHA_00717	CDS	1257				hypothetical protein
IABCJNHA_00718	CDS	852	malG_2		COG3833	Maltose/maltodextrin transport system permease protein MalG
IABCJNHA_00719	CDS	2061	ganA	3.2.1.23	COG1874	Beta-galactosidase GanA
IABCJNHA_00720	CDS	1290	ganB	3.2.1.89	COG3867	Arabinogalactan endo-beta-1,4-galactanase
IABCJNHA_00721	CDS	1212	rsbP	3.1.3.3	COG2208	Phosphoserine phosphatase RsbP
IABCJNHA_00722	CDS	810	rsbQ			Sigma factor SigB regulation protein RsbQ
IABCJNHA_00723	CDS	903	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
IABCJNHA_00724	CDS	738				hypothetical protein
IABCJNHA_00725	CDS	1116	desK_1	2.7.13.3	COG4585	Sensor histidine kinase DesK
IABCJNHA_00726	CDS	603	desR_1		COG2197	Transcriptional regulatory protein DesR
IABCJNHA_00727	CDS	717	lutA_1		COG0247	Lactate utilization protein A
IABCJNHA_00728	CDS	1440	lutB		COG1139	Lactate utilization protein B
IABCJNHA_00729	CDS	723	lutC		COG1556	Lactate utilization protein C
IABCJNHA_00730	CDS	1035	ydhD_1	3.2.-.-	COG3858	Putative sporulation-specific glycosylase YdhD
IABCJNHA_00731	CDS	1344	yvbW		COG1113	putative amino acid permease YvbW
IABCJNHA_00732	CDS	918	eamA		COG0697	putative amino-acid metabolite efflux pump
IABCJNHA_00733	CDS	879	gltC_2			HTH-type transcriptional regulator GltC
IABCJNHA_00734	CDS	1011				hypothetical protein
IABCJNHA_00735	CDS	1089	araR		COG1609	Arabinose metabolism transcriptional repressor
IABCJNHA_00736	CDS	1395	araE		COG0477	Arabinose-proton symporter
IABCJNHA_00737	CDS	1023	cggR		COG2390	Central glycolytic genes regulator
IABCJNHA_00738	CDS	1008	gapA	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase 1
IABCJNHA_00739	CDS	1185	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
IABCJNHA_00740	CDS	762	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
IABCJNHA_00741	CDS	1536	gpmI	5.4.2.12	COG0696	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
IABCJNHA_00742	CDS	1293	eno	4.2.1.11	COG0148	Enolase
IABCJNHA_00743	CDS	462	yvbK	2.3.1.-		putative N-acetyltransferase YvbK
IABCJNHA_00744	CDS	1818				hypothetical protein
IABCJNHA_00745	CDS	699				hypothetical protein
IABCJNHA_00746	CDS	615				hypothetical protein
IABCJNHA_00747	CDS	633				hypothetical protein
IABCJNHA_00748	CDS	558	opcR_1		COG1510	HTH-type transcriptional repressor OpcR
IABCJNHA_00749	CDS	1143	opuCA_1		COG1125	Glycine betaine/carnitine/choline transport ATP-binding protein OpuCA
IABCJNHA_00750	CDS	654	opuCB		COG1174	Glycine betaine/carnitine/choline transport system permease protein OpuCB
IABCJNHA_00751	CDS	918	opuCC		COG1732	Glycine betaine/carnitine/choline-binding protein OpuCC
IABCJNHA_00752	CDS	690	opuCD		COG1174	Glycine betaine/carnitine/choline transport system permease protein OpuCD
IABCJNHA_00753	CDS	273	sdpR		COG0640	Transcriptional repressor SdpR
IABCJNHA_00754	CDS	624	sdpI		COG5658	Immunity protein SdpI
IABCJNHA_00755	CDS	612	sdpC_1			Sporulation delaying protein C
IABCJNHA_00756	CDS	972	sdpB_1			Sporulation-delaying protein SdpB
IABCJNHA_00757	CDS	477	sdpA			Sporulation-delaying protein SdpA
IABCJNHA_00758	CDS	534	opcR_2		COG1510	HTH-type transcriptional repressor OpcR
IABCJNHA_00759	CDS	1146	opuBA		COG1125	Choline transport ATP-binding protein OpuBA
IABCJNHA_00760	CDS	654	opuBB		COG1174	Choline transport system permease protein OpuBB
IABCJNHA_00761	CDS	921	opuBC		COG1732	Choline-binding protein
IABCJNHA_00762	CDS	681	opuBD		COG1174	Choline transport system permease protein OpuBD
IABCJNHA_00763	CDS	1701				hypothetical protein
IABCJNHA_00764	CDS	327	yodB_1		COG1733	HTH-type transcriptional regulator YodB
IABCJNHA_00765	CDS	420	rghR_1			HTH-type transcriptional repressor RghR
IABCJNHA_00766	CDS	417	rghR_2			HTH-type transcriptional repressor RghR
IABCJNHA_00767	CDS	243				hypothetical protein
IABCJNHA_00768	CDS	771	yvaM	3.-.-.-		AB hydrolase superfamily protein YvaM
IABCJNHA_00769	CDS	231	secG		COG1314	putative protein-export membrane protein SecG
IABCJNHA_00770	CDS	741	est	3.1.1.1	COG1647	Carboxylesterase
IABCJNHA_00771	CDS	2340	rnr	3.1.13.1	COG0557	Ribonuclease R
IABCJNHA_00772	CDS	471	smpB		COG0691	SsrA-binding protein
IABCJNHA_00773	tmRNA	360	ssrA			transfer-messenger RNA, SsrA
IABCJNHA_00774	CDS	795	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
IABCJNHA_00775	CDS	573				hypothetical protein
IABCJNHA_00776	CDS	360	qacC			Quaternary ammonium compound-resistance protein QacC
IABCJNHA_00777	CDS	402				hypothetical protein
IABCJNHA_00778	CDS	1896				hypothetical protein
IABCJNHA_00779	CDS	636	azoR2	1.7.1.17	COG1182	FMN-dependent NADH-azoreductase 2
IABCJNHA_00780	CDS	1047	iolW	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolW
IABCJNHA_00781	CDS	306	csoR_1		COG1937	Copper-sensing transcriptional repressor CsoR
IABCJNHA_00782	CDS	210	copZ			Copper chaperone CopZ
IABCJNHA_00783	CDS	2412	copA	7.2.2.8	COG2217	Copper-exporting P-type ATPase
IABCJNHA_00784	CDS	2100	cadA	3.6.3.3	COG2217	Cadmium, zinc and cobalt-transporting ATPase
IABCJNHA_00785	CDS	669	bdbD		COG1651	Disulfide bond formation protein D
IABCJNHA_00786	CDS	417	bdbC		COG1495	Disulfide bond formation protein C
IABCJNHA_00787	CDS	609				hypothetical protein
IABCJNHA_00788	CDS	2325	helD	3.6.4.12	COG3973	DNA helicase IV
IABCJNHA_00789	CDS	1818	cysJ	1.8.1.2	COG0369	Sulfite reductase [NADPH] flavoprotein alpha-component
IABCJNHA_00790	CDS	1716	cysI	1.8.1.2	COG0155	Sulfite reductase [NADPH] hemoprotein beta-component
IABCJNHA_00791	CDS	2013	nhaK		COG0025	Sodium, potassium, lithium and rubidium/H(+) antiporter
IABCJNHA_00792	CDS	486	yvgO			Stress response protein YvgO
IABCJNHA_00793	CDS	831	yvgN	1.1.1.-	COG0656	Glyoxal reductase
IABCJNHA_00794	CDS	684	modB		COG4149	Molybdenum transport system permease protein ModB
IABCJNHA_00795	CDS	783	modA		COG0725	Molybdate-binding protein ModA
IABCJNHA_00796	CDS	930				hypothetical protein
IABCJNHA_00797	CDS	1854	ltaS2_1		COG1368	Lipoteichoic acid synthase 2
IABCJNHA_00798	CDS	483	ydjM_1		COG1988	Inner membrane protein YdjM
IABCJNHA_00799	CDS	141	sspJ			Small, acid-soluble spore protein J
IABCJNHA_00800	CDS	1410	arcD		COG0531	Arginine/ornithine antiporter
IABCJNHA_00801	CDS	243				hypothetical protein
IABCJNHA_00802	CDS	948	fhuD		COG0614	Iron(3+)-hydroxamate-binding protein FhuD
IABCJNHA_00803	CDS	1047	feuB_1		COG0609	Iron-uptake system permease protein FeuB
IABCJNHA_00804	CDS	1011	feuC_1		COG0609	Iron-uptake system permease protein FeuC
IABCJNHA_00805	CDS	810	yusV_1		COG1120	putative siderophore transport system ATP-binding protein YusV
IABCJNHA_00806	CDS	1194	yknX_1		COG0845	Putative efflux system component YknX
IABCJNHA_00807	CDS	690	yknY_1	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
IABCJNHA_00808	CDS	1230	yknZ_1		COG0577	putative ABC transporter permease YknZ
IABCJNHA_00809	CDS	411	yvrL			Membrane-bound negative regulator YvrL
IABCJNHA_00810	CDS	1158	oxdC	4.1.1.2	COG2140	Oxalate decarboxylase OxdC
IABCJNHA_00811	CDS	153	yvrJ			putative protein YvrJ
IABCJNHA_00812	CDS	573	sigO			RNA polymerase sigma factor SigO
IABCJNHA_00813	CDS	240	rsoA			Sigma-O factor regulatory protein RsoA
IABCJNHA_00814	CDS	828	walR_2		COG0745	Transcriptional regulatory protein WalR
IABCJNHA_00815	CDS	1743	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
IABCJNHA_00816	CDS	879		3.1.1.99		6-deoxy-6-sulfogluconolactonase
IABCJNHA_00817	CDS	792	bdhA_2	1.1.1.30		D-beta-hydroxybutyrate dehydrogenase
IABCJNHA_00818	CDS	945	btuF			Vitamin B12-binding protein
IABCJNHA_00819	CDS	1062	hmuU		COG0609	Hemin transport system permease protein HmuU
IABCJNHA_00820	CDS	1332	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
IABCJNHA_00821	CDS	582	yvqK	2.5.1.17	COG2096	Corrinoid adenosyltransferase
IABCJNHA_00822	CDS	1269				hypothetical protein
IABCJNHA_00823	CDS	381	liaI			Protein LiaI
IABCJNHA_00824	CDS	678	liaH		COG1842	Protein LiaH
IABCJNHA_00825	CDS	873	liaG		COG3595	Protein LiaG
IABCJNHA_00826	CDS	726	liaF		COG4758	Protein LiaF
IABCJNHA_00827	CDS	1083	liaS	2.7.13.3	COG4585	Sensor histidine kinase LiaS
IABCJNHA_00828	CDS	636	liaR_2		COG2197	Transcriptional regulatory protein LiaR
IABCJNHA_00829	CDS	1122	gerAC			Spore germination protein A3
IABCJNHA_00830	CDS	1098	gerAB			Spore germination protein A2
IABCJNHA_00831	CDS	1449	gerAA_1			Spore germination protein A1
IABCJNHA_00832	CDS	186				hypothetical protein
IABCJNHA_00833	CDS	1389	fumC	4.2.1.2		Fumarate hydratase class II
IABCJNHA_00834	CDS	876				hypothetical protein
IABCJNHA_00835	CDS	1356	cssS	2.7.13.3		Sensor histidine kinase CssS
IABCJNHA_00836	CDS	678	cssR			Transcriptional regulatory protein CssR
IABCJNHA_00837	CDS	1377	htrB	3.4.21.107	COG0265	Serine protease Do-like HtrB
IABCJNHA_00838	CDS	462	mrgA		COG0783	Metalloregulation DNA-binding stress protein
IABCJNHA_00839	CDS	843				hypothetical protein
IABCJNHA_00840	CDS	297				hypothetical protein
IABCJNHA_00841	CDS	1503	pepF1_1	3.4.24.-		Oligoendopeptidase F, plasmid
IABCJNHA_00842	CDS	438				hypothetical protein
IABCJNHA_00843	CDS	828	yusV_2		COG1120	putative siderophore transport system ATP-binding protein YusV
IABCJNHA_00844	CDS	288				hypothetical protein
IABCJNHA_00845	CDS	888	gltR_2		COG0583	HTH-type transcriptional regulator GltR
IABCJNHA_00846	CDS	330	fabG_2	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
IABCJNHA_00847	CDS	390	xylB_2	1.1.1.175		D-xylose 1-dehydrogenase
IABCJNHA_00848	CDS	384				hypothetical protein
IABCJNHA_00849	CDS	1626	bmr3_1			Multidrug resistance protein 3
IABCJNHA_00850	CDS	468	yusO_2			putative HTH-type transcriptional regulator YusO
IABCJNHA_00851	CDS	333				hypothetical protein
IABCJNHA_00852	CDS	246				hypothetical protein
IABCJNHA_00853	CDS	909	fadM	1.5.5.2	COG0506	Proline dehydrogenase 1
IABCJNHA_00854	CDS	147				hypothetical protein
IABCJNHA_00855	CDS	2370	fadN	1.1.1.35	COG1024	putative 3-hydroxyacyl-CoA dehydrogenase
IABCJNHA_00856	CDS	1176	fadA	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase
IABCJNHA_00857	CDS	1785	fadE	1.3.99.-	COG1960	putative acyl-CoA dehydrogenase
IABCJNHA_00858	CDS	357	mgsR_1		COG1393	Regulatory protein MgsR
IABCJNHA_00859	CDS	384	gcvH		COG0509	Glycine cleavage system H protein
IABCJNHA_00860	CDS	237				hypothetical protein
IABCJNHA_00861	CDS	441	rnmV_1	3.1.26.8		Ribonuclease M5
IABCJNHA_00862	CDS	321				hypothetical protein
IABCJNHA_00863	CDS	345				hypothetical protein
IABCJNHA_00864	CDS	1026	metN	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
IABCJNHA_00865	CDS	669	metP		COG2011	Methionine import system permease protein MetP
IABCJNHA_00866	CDS	825	metQ_1		COG1464	Methionine-binding lipoprotein MetQ
IABCJNHA_00867	CDS	363				hypothetical protein
IABCJNHA_00868	CDS	786	sufC		COG0396	Vegetative protein 296
IABCJNHA_00869	CDS	1314				hypothetical protein
IABCJNHA_00870	CDS	1221	sufS	2.8.1.7	COG0520	Cysteine desulfurase SufS
IABCJNHA_00871	CDS	444	sufU	2.-.-.-	COG0822	Zinc-dependent sulfurtransferase SufU
IABCJNHA_00872	CDS	1398				hypothetical protein
IABCJNHA_00873	CDS	384				hypothetical protein
IABCJNHA_00874	CDS	276				hypothetical protein
IABCJNHA_00875	CDS	147	sspG			Small, acid-soluble spore protein G
IABCJNHA_00876	CDS	1119	thiO_1	1.4.3.19		Glycine oxidase
IABCJNHA_00877	CDS	375	uvrC_1			UvrABC system protein C
IABCJNHA_00878	CDS	987	frlB	3.5.-.-	COG2222	Fructosamine deglycase FrlB
IABCJNHA_00879	CDS	1269	msmE		COG1653	Multiple sugar-binding protein
IABCJNHA_00880	CDS	879	ngcF		COG1175	Diacetylchitobiose uptake system permease protein NgcF
IABCJNHA_00881	CDS	903	ngcG		COG0395	Diacetylchitobiose uptake system permease protein NgcG
IABCJNHA_00882	CDS	855	frlD	2.7.1.-	COG0524	Fructosamine kinase FrlD
IABCJNHA_00883	CDS	729	yurK		COG2188	putative HTH-type transcriptional regulator YurK
IABCJNHA_00884	CDS	1104	msmX_2	7.5.2.-	COG3839	Oligosaccharides import ATP-binding protein MsmX
IABCJNHA_00885	CDS	867	bsn	3.1.-.-	COG2356	Extracellular ribonuclease
IABCJNHA_00886	CDS	1239	pucF	3.5.3.9	COG0624	Allantoate amidohydrolase
IABCJNHA_00887	CDS	1251	pucG	2.6.1.112	COG0075	(S)-ureidoglycine--glyoxylate transaminase
IABCJNHA_00888	CDS	222				hypothetical protein
IABCJNHA_00889	CDS	993	pucA	1.17.1.4	COG1975	putative xanthine dehydrogenase subunit A
IABCJNHA_00890	CDS	618	pucB		COG2068	Purine catabolism protein PucB
IABCJNHA_00891	CDS	834	pucC	1.17.1.4	COG1319	putative xanthine dehydrogenase subunit C
IABCJNHA_00892	CDS	2238	pucD	1.17.1.4	COG1529	putative xanthine dehydrogenase subunit D
IABCJNHA_00893	CDS	522	pucE	1.17.1.4	COG2080	putative xanthine dehydrogenase subunit E
IABCJNHA_00894	CDS	345	pucM	3.5.2.17	COG2351	5-hydroxyisourate hydrolase
IABCJNHA_00895	CDS	1485	pucL		COG3195	Uric acid degradation bifunctional protein PucL
IABCJNHA_00896	CDS	1293	pucK_1		COG2233	Uric acid permease PucK
IABCJNHA_00897	CDS	1350	pucJ		COG2233	Uric acid permease PucJ
IABCJNHA_00898	CDS	1596	pucR		COG2508	Purine catabolism regulatory protein
IABCJNHA_00899	CDS	1341	allB	3.5.2.5	COG0044	Allantoinase
IABCJNHA_00900	CDS	348				hypothetical protein
IABCJNHA_00901	CDS	849				hypothetical protein
IABCJNHA_00902	CDS	822				hypothetical protein
IABCJNHA_00903	CDS	1389	mggB	3.1.3.-	COG0737	Mannosylglucosyl-3-phosphoglycerate phosphatase
IABCJNHA_00904	CDS	306				hypothetical protein
IABCJNHA_00905	CDS	765	yunB			Sporulation protein YunB
IABCJNHA_00906	CDS	981	lytH	3.4.-.-	COG0739	L-Ala--D-Glu endopeptidase
IABCJNHA_00907	CDS	897	lipA	2.8.1.8	COG0320	Lipoyl synthase
IABCJNHA_00908	CDS	633				hypothetical protein
IABCJNHA_00909	CDS	276	yutD		COG4470	putative protein YutD
IABCJNHA_00910	CDS	435				hypothetical protein
IABCJNHA_00911	CDS	771	yutF	3.1.3.-	COG0647	Acid sugar phosphatase
IABCJNHA_00912	CDS	450	ypjQ_1		COG1267	putative protein YpjQ
IABCJNHA_00913	CDS	1020				hypothetical protein
IABCJNHA_00914	CDS	1302	hom	1.1.1.3	COG0460	Homoserine dehydrogenase
IABCJNHA_00915	CDS	1068	thrC	4.2.3.1	COG0498	Threonine synthase
IABCJNHA_00916	CDS	930	thrB	2.7.1.39	COG0083	Homoserine kinase
IABCJNHA_00917	CDS	1974	dpp5	3.4.14.-	COG1506	Dipeptidyl-peptidase 5
IABCJNHA_00918	CDS	237	nfuA			Fe/S biogenesis protein NfuA
IABCJNHA_00919	CDS	324				hypothetical protein
IABCJNHA_00920	CDS	1029	ndh	1.6.99.3	COG1252	NADH dehydrogenase
IABCJNHA_00921	CDS	237				hypothetical protein
IABCJNHA_00922	CDS	1215	nupX		COG1972	Putative nucleoside permease NupX
IABCJNHA_00923	CDS	855	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
IABCJNHA_00924	CDS	363			COG0316	Protein
IABCJNHA_00925	CDS	507	paiA	2.3.1.57	COG0454	Spermidine/spermine N(1)-acetyltransferase
IABCJNHA_00926	CDS	624	paiB		COG2808	Protease synthase and sporulation protein PAI 2
IABCJNHA_00927	CDS	981	guaC	1.7.1.7	COG0516	GMP reductase
IABCJNHA_00928	CDS	141				hypothetical protein
IABCJNHA_00929	CDS	999	yumC	1.18.1.2	COG0492	Ferredoxin--NADP reductase 2
IABCJNHA_00930	CDS	1221		1.6.99.-	COG1252	NADH dehydrogenase-like protein
IABCJNHA_00931	CDS	321				hypothetical protein
IABCJNHA_00932	CDS	657	yuiC		COG3584	putative protein YuiC
IABCJNHA_00933	CDS	477				hypothetical protein
IABCJNHA_00934	CDS	1503	pepA	3.4.11.1	COG0260	Cytosol aminopeptidase
IABCJNHA_00935	CDS	1329				hypothetical protein
IABCJNHA_00936	CDS	603	bioY_1		COG1268	Biotin transporter BioY
IABCJNHA_00937	CDS	597	yedY1		COG2041	Putative protein-methionine-sulfoxide reductase subunit YedZ1
IABCJNHA_00938	CDS	882	besA	3.1.-.-	COG2819	Ferri-bacillibactin esterase BesA
IABCJNHA_00939	CDS	786	dhbA	1.3.1.28	COG1028	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
IABCJNHA_00940	CDS	1197	dhbC	5.4.4.2	COG1169	Isochorismate synthase DhbC
IABCJNHA_00941	CDS	1620	dhbE	6.3.2.-	COG1021	2,3-dihydroxybenzoate-AMP ligase
IABCJNHA_00942	CDS	939	dhbB	3.3.2.1	COG1535	Isochorismatase
IABCJNHA_00943	CDS	7137	dhbF		COG1020	Dimodular nonribosomal peptide synthase
IABCJNHA_00944	CDS	210	mbtH		COG3251	Protein MbtH
IABCJNHA_00945	CDS	678				hypothetical protein
IABCJNHA_00946	CDS	1137	ald	1.4.1.1	COG0686	Alanine dehydrogenase
IABCJNHA_00947	CDS	1230	putR_1			Proline-responsive transcriptional activator PutR
IABCJNHA_00948	CDS	294	yukE		COG4842	Protein YukE
IABCJNHA_00949	CDS	240	yukD		COG5417	ESX secretion system protein YukD
IABCJNHA_00950	CDS	1356	essB		COG4499	Type VII secretion system protein EssB
IABCJNHA_00951	CDS	4521	eccC		COG1674	ESX secretion system protein EccC
IABCJNHA_00952	CDS	3231	yueB		COG1511	ESX secretion system protein YueB
IABCJNHA_00953	CDS	465				hypothetical protein
IABCJNHA_00954	CDS	732	yueD	1.1.1.320		Benzil reductase ((S)-benzoin forming)
IABCJNHA_00955	CDS	531				hypothetical protein
IABCJNHA_00956	CDS	237				hypothetical protein
IABCJNHA_00957	CDS	390				hypothetical protein
IABCJNHA_00958	CDS	1110			COG0628	Putative transport protein
IABCJNHA_00959	CDS	222	gerPF_1			putative spore germination protein GerPF
IABCJNHA_00960	CDS	249				hypothetical protein
IABCJNHA_00961	CDS	399	yueI		COG5506	putative protein YueI
IABCJNHA_00962	CDS	552	pncA	3.5.1.19	COG1335	Nicotinamidase/pyrazinamidase
IABCJNHA_00963	CDS	1473	pncB	6.3.4.21		Nicotinate phosphoribosyltransferase
IABCJNHA_00964	CDS	1230	cdgJ	3.1.4.52	COG3434	Cyclic di-GMP phosphodiesterase CdgJ
IABCJNHA_00965	CDS	369				hypothetical protein
IABCJNHA_00966	CDS	141	degQ			Degradation enzyme regulation protein DegQ
IABCJNHA_00967	CDS	984				hypothetical protein
IABCJNHA_00968	CDS	168	comX			Competence pheromone
IABCJNHA_00969	CDS	2310	comP	2.7.13.3		Sensor histidine kinase ComP
IABCJNHA_00970	CDS	645	comA		COG2197	Transcriptional regulatory protein ComA
IABCJNHA_00971	CDS	381		3.1.2.-	COG2050	Putative esterase
IABCJNHA_00972	CDS	375	mrpG		COG1320	Na(+)/H(+) antiporter subunit G
IABCJNHA_00973	CDS	285	mrpF		COG2212	Na(+)/H(+) antiporter subunit F
IABCJNHA_00974	CDS	477	mrpE		COG1863	Na(+)/H(+) antiporter subunit E
IABCJNHA_00975	CDS	1491	mrpD		COG0651	Na(+)/H(+) antiporter subunit D
IABCJNHA_00976	CDS	342	mrpC		COG1006	Na(+)/H(+) antiporter subunit C
IABCJNHA_00977	CDS	432	mrpB		COG2111	Na(+)/H(+) antiporter subunit B
IABCJNHA_00978	CDS	2406	mrpA		COG1009	Na(+)/H(+) antiporter subunit A
IABCJNHA_00979	CDS	216				hypothetical protein
IABCJNHA_00980	CDS	1347	cimH_2		COG3493	Citrate/malate transporter
IABCJNHA_00981	CDS	960				hypothetical protein
IABCJNHA_00982	CDS	1047				hypothetical protein
IABCJNHA_00983	CDS	1533	mglA	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
IABCJNHA_00984	CDS	1080	tmpC		COG1744	Membrane lipoprotein TmpC
IABCJNHA_00985	CDS	708	dcuR_1		COG4565	Transcriptional regulatory protein DcuR
IABCJNHA_00986	CDS	1602	dcuS_1	2.7.13.3	COG3290	Sensor histidine kinase DcuS
IABCJNHA_00987	CDS	558				hypothetical protein
IABCJNHA_00988	CDS	414				hypothetical protein
IABCJNHA_00989	CDS	1875	pbpD		COG0744	Penicillin-binding protein 4
IABCJNHA_00990	CDS	1059	sbnD			Staphyloferrin B transporter
IABCJNHA_00991	CDS	204				hypothetical protein
IABCJNHA_00992	CDS	618				hypothetical protein
IABCJNHA_00993	CDS	387	kapB			Kinase-associated lipoprotein B
IABCJNHA_00994	CDS	1287	sasA_3	2.7.-.-		Adaptive-response sensory-kinase SasA
IABCJNHA_00995	CDS	1164	patB	4.4.1.13	COG1168	Cystathionine beta-lyase PatB
IABCJNHA_00996	CDS	261				hypothetical protein
IABCJNHA_00997	CDS	822	mhpC	3.7.1.14		2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase
IABCJNHA_00998	CDS	501				hypothetical protein
IABCJNHA_00999	CDS	1083	dapX_1	2.6.1.-	COG0436	putative N-acetyl-LL-diaminopimelate aminotransferase
IABCJNHA_01000	CDS	393	yugI		COG1098	General stress protein 13
IABCJNHA_01001	CDS	237				hypothetical protein
IABCJNHA_01002	CDS	1164	adh2_1	1.1.1.192	COG1979	Long-chain-alcohol dehydrogenase 2
IABCJNHA_01003	CDS	1173	adh2_2	1.1.1.192	COG1979	Long-chain-alcohol dehydrogenase 2
IABCJNHA_01004	CDS	1353	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
IABCJNHA_01005	CDS	429				hypothetical protein
IABCJNHA_01006	CDS	405				hypothetical protein
IABCJNHA_01007	CDS	987				hypothetical protein
IABCJNHA_01008	CDS	333	mstX		COG1226	Protein mistic
IABCJNHA_01009	CDS	264				hypothetical protein
IABCJNHA_01010	CDS	678				hypothetical protein
IABCJNHA_01011	CDS	1290				hypothetical protein
IABCJNHA_01012	CDS	1665	malL_2	3.2.1.10	COG0366	Oligo-1,6-glucosidase
IABCJNHA_01013	CDS	399				hypothetical protein
IABCJNHA_01014	CDS	255				hypothetical protein
IABCJNHA_01015	CDS	738	tgl	2.3.2.13		Protein-glutamine gamma-glutamyltransferase
IABCJNHA_01016	CDS	1989	mcpB_1		COG0840	Methyl-accepting chemotaxis protein McpB
IABCJNHA_01017	CDS	1989	mcpA_1		COG0840	Methyl-accepting chemotaxis protein McpA
IABCJNHA_01018	CDS	1992	mcpA_2		COG0840	Methyl-accepting chemotaxis protein McpA
IABCJNHA_01019	CDS	1989	mcpB_2		COG0840	Methyl-accepting chemotaxis protein McpB
IABCJNHA_01020	CDS	2070	hcaB_2	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
IABCJNHA_01021	CDS	777	srlR_2		COG1349	Glucitol operon repressor
IABCJNHA_01022	CDS	1458	rhaB	2.7.1.5	COG1070	L-Rhamnulokinase
IABCJNHA_01023	CDS	315	rhaM	5.1.3.32	COG3254	L-rhamnose mutarotase
IABCJNHA_01024	CDS	1275	rhaA	5.3.1.14	COG4806	L-rhamnose isomerase
IABCJNHA_01025	CDS	987	iolU	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
IABCJNHA_01026	CDS	1167				hypothetical protein
IABCJNHA_01027	CDS	831	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
IABCJNHA_01028	tRNA	73				tRNA-Ala(ggc)
IABCJNHA_01029	CDS	486	cdoA	1.13.11.20		Cysteine dioxygenase
IABCJNHA_01030	CDS	1536				hypothetical protein
IABCJNHA_01031	CDS	1035	lytG	3.2.1.-	COG1705	Exo-glucosaminidase LytG
IABCJNHA_01032	CDS	264				hypothetical protein
IABCJNHA_01033	CDS	1338	ktrB_1		COG0168	Ktr system potassium uptake protein B
IABCJNHA_01034	CDS	669	ktrA_1		COG0569	Ktr system potassium uptake protein A
IABCJNHA_01035	CDS	546	bslA			Biofilm-surface layer protein A
IABCJNHA_01036	CDS	543	opcR_3		COG1510	HTH-type transcriptional repressor OpcR
IABCJNHA_01037	CDS	1473	gbsA	1.2.1.8	COG1012	Betaine aldehyde dehydrogenase
IABCJNHA_01038	CDS	1209	gbsB	1.1.1.-	COG1454	Choline dehydrogenase
IABCJNHA_01039	CDS	579	yuaD			Putative metal-sulfur cluster biosynthesis proteins YuaD
IABCJNHA_01040	CDS	489				hypothetical protein
